Index,Date,Time,Total Persons Count
1,2020/05/08,21:37:19.576,9
2,2020/05/08,21:37:19.917,10
3,2020/05/08,21:37:20.250,10
4,2020/05/08,21:37:20.582,11
5,2020/05/08,21:37:20.909,10
6,2020/05/08,21:37:21.237,12
7,2020/05/08,21:37:21.564,11
8,2020/05/08,21:37:21.894,12
9,2020/05/08,21:37:22.228,11
10,2020/05/08,21:37:22.565,8
11,2020/05/08,21:37:22.895,9
12,2020/05/08,21:37:23.241,9
13,2020/05/08,21:37:23.568,7
14,2020/05/08,21:37:23.896,7
15,2020/05/08,21:37:24.226,6
16,2020/05/08,21:37:24.553,6
17,2020/05/08,21:37:24.881,6
18,2020/05/08,21:37:25.210,7
19,2020/05/08,21:37:25.533,5
20,2020/05/08,21:37:25.867,3
21,2020/05/08,21:37:26.196,4
22,2020/05/08,21:37:26.527,4
23,2020/05/08,21:37:26.854,5
24,2020/05/08,21:37:27.179,5
25,2020/05/08,21:37:27.511,4
26,2020/05/08,21:37:27.843,3
27,2020/05/08,21:37:28.171,2
28,2020/05/08,21:37:28.560,2
29,2020/05/08,21:37:28.895,4
30,2020/05/08,21:37:29.222,4
31,2020/05/08,21:37:29.556,7
32,2020/05/08,21:37:29.890,6
33,2020/05/08,21:37:30.217,6
34,2020/05/08,21:37:30.551,7
35,2020/05/08,21:37:30.880,7
36,2020/05/08,21:37:31.209,8
37,2020/05/08,21:37:31.542,8
38,2020/05/08,21:37:31.869,7
39,2020/05/08,21:37:32.199,5
40,2020/05/08,21:37:32.526,8
41,2020/05/08,21:37:32.853,9
42,2020/05/08,21:37:33.182,6
43,2020/05/08,21:37:33.512,7
44,2020/05/08,21:37:33.845,7
45,2020/05/08,21:37:34.179,8
